"Month","Category Group/Category","Category Group","Category","Assigned","Activity","Available"
"Jun 2026","Short-Term Savings: General Liquidity","Short-Term Savings","General Liquidity","$0.00","$0.00","$0.00"
"Jun 2026","Short-Term Savings: Tax Refund","Short-Term Savings","Tax Refund","$0.00","$0.00","$0.00"
"Jun 2026","Short-Term Savings: Debt Repayment Savings","Short-Term Savings","Debt Repayment Savings","$0.00","$0.00","$0.00"
"Jun 2026","Short-Term Savings: Christmas","Short-Term Savings","Christmas","$0.00","$0.00","$0.00"
"Jun 2026","Short-Term Savings: Small Trips","Short-Term Savings","Small Trips","$0.00","$0.00","$0.00"
"Jun 2026","Short-Term Savings: Vacation Fund / Big Trips","Short-Term Savings","Vacation Fund / Big Trips","$0.00","$0.00","$0.00"
"Jun 2026","Irregular Expenses: Interest","Irregular Expenses","Interest","$0.00","$0.00","$0.00"
"Jun 2026","Irregular Expenses: Dad Reimbursement","Irregular Expenses","Dad Reimbursement","$0.00","-$206.00","-$206.00"
"Jun 2026","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","$0.00","-$459.98","-$459.98"
"Jun 2026","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","$0.00","-$393.42","-$393.42"
"Jun 2026","Irregular Expenses: Medical","Irregular Expenses","Medical","$0.00","$0.00","$0.00"
"Jul 2026","Credit Card Payments: Amex Gold (Due 20th)","Credit Card Payments","Amex Gold (Due 20th)","$0.00","$0.00","$0.00"
"Jul 2026","Credit Card Payments: Credit Card – 8072","Credit Card Payments","Credit Card – 8072","$0.00","$0.00","$0.00"
"Jul 2026","Credit Card Payments: Savor – 7573","Credit Card Payments","Savor – 7573","$0.00","$0.00","$0.00"
"Jul 2026","Credit Card Payments: Wells Fargo Autograph Visa�� Card – 5212","Credit Card Payments","Wells Fargo Autograph Visa�� Card – 5212","$0.00","$0.00","$0.00"
"Jul 2026","Bills: Electricity","Bills","Electricity","$0.00","$0.00","$0.00"
"Jul 2026","Bills: Public Transit","Bills","Public Transit","$0.00","-$60.19","-$60.19"
"Jul 2026","Bills: 🏠 Rent","Bills","🏠 Rent","$0.00","-$1,560.95","-$1,560.95"
"Jul 2026","Bills: 📄 Renter's insurance - Savings Bucket","Bills","📄 Renter's insurance - Savings Bucket","$0.00","$0.00","$0.00"
"Jul 2026","Bills: 🎓 Student loans","Bills","🎓 Student loans","$0.00","-$253.22","-$253.22"
"Jul 2026","Subscriptions: Costco","Subscriptions","Costco","$0.00","$0.00","$0.00"
"Jul 2026","Subscriptions: Prime","Subscriptions","Prime","$0.00","$0.00","$0.00"
"Jul 2026","Subscriptions: Spotify","Subscriptions","Spotify","$0.00","-$14.17","-$14.17"
"Jul 2026","Subscriptions: Amex Gold","Subscriptions","Amex Gold","$0.00","$0.00","$0.00"
"Jul 2026","Subscriptions: Google Subscription","Subscriptions","Google Subscription","$0.00","$0.00","$0.00"
"Jul 2026","Subscriptions: YNAB","Subscriptions","YNAB","$0.00","-$14.99","-$14.99"
"Jul 2026","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest","$0.00","-$306.27","-$306.27"
"Jul 2026","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health","$60.00","-$34.82","$25.18"
"Jul 2026","Monthly Living / Lifestyle: Haircut","Monthly Living / Lifestyle","Haircut","$0.00","$0.00","$0.00"
"Jul 2026","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","$100.00","-$406.87","-$306.87"
"Jul 2026","Fun Spending: Charity","Fun Spending","Charity","$0.00","$0.00","$0.00"
"Jul 2026","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","$0.00","-$513.38","-$513.38"
"Jul 2026","Fun Spending: Holidays","Fun Spending","Holidays","$0.00","$0.00","$0.00"
"Jul 2026","Fun Spending: Concerts, Shows & General","Fun Spending","Concerts, Shows & General","$72.85","$0.00","$72.85"
"Jul 2026","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","$0.00","-$524.96","-$524.96"
"Jul 2026","Fun Spending: Bars","Fun Spending","Bars","$0.00","-$398.81","-$398.81"
"Jul 2026","Fun Spending: Fun Transport","Fun Spending","Fun Transport","$0.00","-$75.82","-$75.82"
"Jul 2026","Fun Spending: Random Subscription","Fun Spending","Random Subscription","$0.00","-$165.73","-$165.73"
"Jul 2026","Wealth Building: Roth IRA","Wealth Building","Roth IRA","$0.00","$0.00","$0.00"
"Jul 2026","Wealth Building: Holdover","Wealth Building","Holdover","$0.00","$0.00","$0.00"
"Jul 2026","Wealth Building: 😌 Emergency Fund","Wealth Building","😌 Emergency Fund","$0.00","$0.00","$0.00"
"Jul 2026","Wealth Building: Travel","Wealth Building","Travel","$0.00","-$17.99","-$17.99"
"Jul 2026","Short-Term Savings: Move in July","Short-Term Savings","Move in July","$700.00","-$242.96","$457.04"
"Jul 2026","Short-Term Savings: General Liquidity","Short-Term Savings","General Liquidity","$0.00","$0.00","$0.00"
"Jul 2026","Short-Term Savings: Tax Refund","Short-Term Savings","Tax Refund","$0.00","$0.00","$0.00"
"Jul 2026","Short-Term Savings: Debt Repayment Savings","Short-Term Savings","Debt Repayment Savings","$0.00","$0.00","$0.00"
"Jul 2026","Short-Term Savings: Christmas","Short-Term Savings","Christmas","$0.00","$0.00","$0.00"
"Jul 2026","Short-Term Savings: Small Trips","Short-Term Savings","Small Trips","$0.00","$0.00","$0.00"
"Jul 2026","Short-Term Savings: Vacation Fund / Big Trips","Short-Term Savings","Vacation Fund / Big Trips","$0.00","$0.00","$0.00"
"Jul 2026","Irregular Expenses: Interest","Irregular Expenses","Interest","$0.00","$0.00","$0.00"
"Jul 2026","Irregular Expenses: Dad Reimbursement","Irregular Expenses","Dad Reimbursement","$0.00","$0.00","$0.00"
"Jul 2026","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","$0.00","$1,127.04","$1,127.04"
"Jul 2026","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","$0.00","-$578.01","-$578.01"
"Jul 2026","Irregular Expenses: Medical","Irregular Expenses","Medical","$0.00","$0.00","$0.00"
"Aug 2026","Credit Card Payments: Amex Gold (Due 20th)","Credit Card Payments","Amex Gold (Due 20th)","$0.00","$0.00","$0.00"
"Aug 2026","Credit Card Payments: Credit Card – 8072","Credit Card Payments","Credit Card – 8072","$0.00","$0.00","$0.00"
"Aug 2026","Credit Card Payments: Savor – 7573","Credit Card Payments","Savor – 7573","$0.00","$0.00","$0.00"
"Aug 2026","Credit Card Payments: Wells Fargo Autograph Visa�� Card – 5212","Credit Card Payments","Wells Fargo Autograph Visa�� Card – 5212","$0.00","$0.00","$0.00"
"Aug 2026","Bills: Electricity","Bills","Electricity","$0.00","$0.00","$0.00"
"Aug 2026","Bills: Public Transit","Bills","Public Transit","$0.00","$0.00","$0.00"
"Aug 2026","Bills: 🏠 Rent","Bills","🏠 Rent","$2,335.00","$0.00","$2,335.00"
"Aug 2026","Bills: 📄 Renter's insurance - Savings Bucket","Bills","📄 Renter's insurance - Savings Bucket","$0.00","$0.00","$0.00"
"Aug 2026","Bills: 🎓 Student loans","Bills","🎓 Student loans","$0.00","$0.00","$0.00"
"Aug 2026","Subscriptions: Costco","Subscriptions","Costco","$0.00","$0.00","$0.00"
"Aug 2026","Subscriptions: Prime","Subscriptions","Prime","$0.00","$0.00","$0.00"
"Aug 2026","Subscriptions: Spotify","Subscriptions","Spotify","$0.00","$0.00","$0.00"
"Aug 2026","Subscriptions: Amex Gold","Subscriptions","Amex Gold","$0.00","$0.00","$0.00"
"Aug 2026","Subscriptions: Google Subscription","Subscriptions","Google Subscription","$0.00","$0.00","$0.00"
"Aug 2026","Subscriptions: YNAB","Subscriptions","YNAB","$0.00","$0.00","$0.00"
"Aug 2026","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest","$0.00","$0.00","$0.00"
"Aug 2026","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health","$0.00","$0.00","$25.18"
"Aug 2026","Monthly Living / Lifestyle: Haircut","Monthly Living / Lifestyle","Haircut","$0.00","$0.00","$0.00"
"Aug 2026","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","$0.00","$0.00","$0.00"
"Aug 2026","Fun Spending: Charity","Fun Spending","Charity","$0.00","$0.00","$0.00"
"Aug 2026","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","$0.00","$0.00","$0.00"
"Aug 2026","Fun Spending: Holidays","Fun Spending","Holidays","$0.00","$0.00","$0.00"
"Aug 2026","Fun Spending: Concerts, Shows & General","Fun Spending","Concerts, Shows & General","$0.00","$0.00","$72.85"
"Aug 2026","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","$0.00","$0.00","$0.00"
"Aug 2026","Fun Spending: Bars","Fun Spending","Bars","$0.00","$0.00","$0.00"
"Aug 2026","Fun Spending: Fun Transport","Fun Spending","Fun Transport","$0.00","$0.00","$0.00"
"Aug 2026","Fun Spending: Random Subscription","Fun Spending","Random Subscription","$0.00","$0.00","$0.00"
"Aug 2026","Wealth Building: Roth IRA","Wealth Building","Roth IRA","$0.00","$0.00","$0.00"
"Aug 2026","Wealth Building: Holdover","Wealth Building","Holdover","$0.00","$0.00","$0.00"
"Aug 2026","Wealth Building: 😌 Emergency Fund","Wealth Building","😌 Emergency Fund","$0.00","$0.00","$0.00"
"Aug 2026","Wealth Building: Travel","Wealth Building","Travel","$0.00","$0.00","$0.00"
"Aug 2026","Short-Term Savings: Move in July","Short-Term Savings","Move in July","$0.00","$0.00","$457.04"
"Aug 2026","Short-Term Savings: General Liquidity","Short-Term Savings","General Liquidity","$0.00","$0.00","$0.00"
"Aug 2026","Short-Term Savings: Tax Refund","Short-Term Savings","Tax Refund","$0.00","$0.00","$0.00"
"Aug 2026","Short-Term Savings: Debt Repayment Savings","Short-Term Savings","Debt Repayment Savings","$0.00","$0.00","$0.00"
"Aug 2026","Short-Term Savings: Christmas","Short-Term Savings","Christmas","$0.00","$0.00","$0.00"
"Aug 2026","Short-Term Savings: Small Trips","Short-Term Savings","Small Trips","$0.00","$0.00","$0.00"
"Aug 2026","Short-Term Savings: Vacation Fund / Big Trips","Short-Term Savings","Vacation Fund / Big Trips","$0.00","$0.00","$0.00"
"Aug 2026","Irregular Expenses: Interest","Irregular Expenses","Interest","$0.00","$0.00","$0.00"
"Aug 2026","Irregular Expenses: Dad Reimbursement","Irregular Expenses","Dad Reimbursement","$0.00","$0.00","$0.00"
"Aug 2026","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","$0.00","$0.00","$1,127.04"
"Aug 2026","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","$0.00","$0.00","$0.00"
"Aug 2026","Irregular Expenses: Medical","Irregular Expenses","Medical","$0.00","$0.00","$0.00"
"Sep 2026","Credit Card Payments: Amex Gold (Due 20th)","Credit Card Payments","Amex Gold (Due 20th)","$0.00","$0.00","$0.00"
"Sep 2026","Credit Card Payments: Credit Card – 8072","Credit Card Payments","Credit Card – 8072","$0.00","$0.00","$0.00"
"Sep 2026","Credit Card Payments: Savor – 7573","Credit Card Payments","Savor – 7573","$0.00","$0.00","$0.00"
"Sep 2026","Credit Card Payments: Wells Fargo Autograph Visa�� Card – 5212","Credit Card Payments","Wells Fargo Autograph Visa�� Card – 5212","$0.00","$0.00","$0.00"
"Sep 2026","Bills: Electricity","Bills","Electricity","$0.00","$0.00","$0.00"
"Sep 2026","Bills: Public Transit","Bills","Public Transit","$0.00","$0.00","$0.00"
"Sep 2026","Bills: 🏠 Rent","Bills","🏠 Rent","$0.00","$0.00","$2,335.00"
"Sep 2026","Bills: 📄 Renter's insurance - Savings Bucket","Bills","📄 Renter's insurance - Savings Bucket","$0.00","$0.00","$0.00"
"Sep 2026","Bills: 🎓 Student loans","Bills","🎓 Student loans","$0.00","$0.00","$0.00"
"Sep 2026","Subscriptions: Costco","Subscriptions","Costco","$0.00","$0.00","$0.00"
"Sep 2026","Subscriptions: Prime","Subscriptions","Prime","$0.00","$0.00","$0.00"
"Sep 2026","Subscriptions: Spotify","Subscriptions","Spotify","$0.00","$0.00","$0.00"
"Sep 2026","Subscriptions: Amex Gold","Subscriptions","Amex Gold","$0.00","$0.00","$0.00"
"Sep 2026","Subscriptions: Google Subscription","Subscriptions","Google Subscription","$0.00","$0.00","$0.00"
"Sep 2026","Subscriptions: YNAB","Subscriptions","YNAB","$0.00","$0.00","$0.00"
"Sep 2026","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest","$0.00","$0.00","$0.00"
"Sep 2026","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health","$0.00","$0.00","$25.18"
"Sep 2026","Monthly Living / Lifestyle: Haircut","Monthly Living / Lifestyle","Haircut","$0.00","$0.00","$0.00"
"Sep 2026","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","$0.00","$0.00","$0.00"
"Sep 2026","Fun Spending: Charity","Fun Spending","Charity","$0.00","$0.00","$0.00"
"Sep 2026","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","$0.00","$0.00","$0.00"
"Sep 2026","Fun Spending: Holidays","Fun Spending","Holidays","$0.00","$0.00","$0.00"
"Sep 2026","Fun Spending: Concerts, Shows & General","Fun Spending","Concerts, Shows & General","$0.00","$0.00","$72.85"
"Sep 2026","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","$0.00","$0.00","$0.00"
"Sep 2026","Fun Spending: Bars","Fun Spending","Bars","$0.00","$0.00","$0.00"
"Sep 2026","Fun Spending: Fun Transport","Fun Spending","Fun Transport","$0.00","$0.00","$0.00"
"Sep 2026","Fun Spending: Random Subscription","Fun Spending","Random Subscription","$0.00","$0.00","$0.00"
"Sep 2026","Wealth Building: Roth IRA","Wealth Building","Roth IRA","$0.00","$0.00","$0.00"
"Sep 2026","Wealth Building: Holdover","Wealth Building","Holdover","$0.00","$0.00","$0.00"
"Sep 2026","Wealth Building: 😌 Emergency Fund","Wealth Building","😌 Emergency Fund","$0.00","$0.00","$0.00"
"Sep 2026","Wealth Building: Travel","Wealth Building","Travel","$0.00","$0.00","$0.00"
"Sep 2026","Short-Term Savings: Move in July","Short-Term Savings","Move in July","$0.00","$0.00","$457.04"
"Sep 2026","Short-Term Savings: General Liquidity","Short-Term Savings","General Liquidity","$0.00","$0.00","$0.00"
"Sep 2026","Short-Term Savings: Tax Refund","Short-Term Savings","Tax Refund","$0.00","$0.00","$0.00"
"Sep 2026","Short-Term Savings: Debt Repayment Savings","Short-Term Savings","Debt Repayment Savings","$0.00","$0.00","$0.00"
"Sep 2026","Short-Term Savings: Christmas","Short-Term Savings","Christmas","$0.00","$0.00","$0.00"
"Sep 2026","Short-Term Savings: Small Trips","Short-Term Savings","Small Trips","$0.00","$0.00","$0.00"
"Sep 2026","Short-Term Savings: Vacation Fund / Big Trips","Short-Term Savings","Vacation Fund / Big Trips","$0.00","$0.00","$0.00"
"Sep 2026","Irregular Expenses: Interest","Irregular Expenses","Interest","$0.00","$0.00","$0.00"
"Sep 2026","Irregular Expenses: Dad Reimbursement","Irregular Expenses","Dad Reimbursement","$0.00","$0.00","$0.00"
"Sep 2026","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","$0.00","$0.00","$1,127.04"
"Sep 2026","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","$0.00","$0.00","$0.00"
"Sep 2026","Irregular Expenses: Medical","Irregular Expenses","Medical","$0.00","$0.00","$0.00"
"Oct 2026","Credit Card Payments: Amex Gold (Due 20th)","Credit Card Payments","Amex Gold (Due 20th)","$0.00","$0.00","$0.00"
"Oct 2026","Credit Card Payments: Credit Card – 8072","Credit Card Payments","Credit Card – 8072","$0.00","$0.00","$0.00"
"Oct 2026","Credit Card Payments: Savor – 7573","Credit Card Payments","Savor – 7573","$0.00","$0.00","$0.00"
"Oct 2026","Credit Card Payments: Wells Fargo Autograph Visa�� Card – 5212","Credit Card Payments","Wells Fargo Autograph Visa�� Card – 5212","$0.00","$0.00","$0.00"
"Oct 2026","Bills: Electricity","Bills","Electricity","$0.00","$0.00","$0.00"
"Oct 2026","Bills: Public Transit","Bills","Public Transit","$0.00","$0.00","$0.00"
"Oct 2026","Bills: 🏠 Rent","Bills","🏠 Rent","$0.00","$0.00","$2,335.00"
"Oct 2026","Bills: 📄 Renter's insurance - Savings Bucket","Bills","📄 Renter's insurance - Savings Bucket","$0.00","$0.00","$0.00"
"Oct 2026","Bills: 🎓 Student loans","Bills","🎓 Student loans","$0.00","$0.00","$0.00"
"Oct 2026","Subscriptions: Costco","Subscriptions","Costco","$0.00","$0.00","$0.00"
"Oct 2026","Subscriptions: Prime","Subscriptions","Prime","$0.00","$0.00","$0.00"
"Oct 2026","Subscriptions: Spotify","Subscriptions","Spotify","$0.00","$0.00","$0.00"
"Oct 2026","Subscriptions: Amex Gold","Subscriptions","Amex Gold","$0.00","$0.00","$0.00"
"Oct 2026","Subscriptions: Google Subscription","Subscriptions","Google Subscription","$0.00","$0.00","$0.00"
"Oct 2026","Subscriptions: YNAB","Subscriptions","YNAB","$0.00","$0.00","$0.00"
"Oct 2026","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest","$0.00","$0.00","$0.00"
"Oct 2026","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health","$0.00","$0.00","$25.18"
"Oct 2026","Monthly Living / Lifestyle: Haircut","Monthly Living / Lifestyle","Haircut","$0.00","$0.00","$0.00"
"Oct 2026","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","$0.00","$0.00","$0.00"
"Oct 2026","Fun Spending: Charity","Fun Spending","Charity","$0.00","$0.00","$0.00"
"Oct 2026","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","$0.00","$0.00","$0.00"
"Oct 2026","Fun Spending: Holidays","Fun Spending","Holidays","$0.00","$0.00","$0.00"
"Oct 2026","Fun Spending: Concerts, Shows & General","Fun Spending","Concerts, Shows & General","$0.00","$0.00","$72.85"
"Oct 2026","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","$0.00","$0.00","$0.00"
"Oct 2026","Fun Spending: Bars","Fun Spending","Bars","$0.00","$0.00","$0.00"
"Oct 2026","Fun Spending: Fun Transport","Fun Spending","Fun Transport","$0.00","$0.00","$0.00"
"Oct 2026","Fun Spending: Random Subscription","Fun Spending","Random Subscription","$0.00","$0.00","$0.00"
"Oct 2026","Wealth Building: Roth IRA","Wealth Building","Roth IRA","$0.00","$0.00","$0.00"
"Oct 2026","Wealth Building: Holdover","Wealth Building","Holdover","$0.00","$0.00","$0.00"
"Oct 2026","Wealth Building: 😌 Emergency Fund","Wealth Building","😌 Emergency Fund","$0.00","$0.00","$0.00"
"Oct 2026","Wealth Building: Travel","Wealth Building","Travel","$0.00","$0.00","$0.00"
"Oct 2026","Short-Term Savings: Move in July","Short-Term Savings","Move in July","$0.00","$0.00","$457.04"
"Oct 2026","Short-Term Savings: General Liquidity","Short-Term Savings","General Liquidity","$0.00","$0.00","$0.00"
"Oct 2026","Short-Term Savings: Tax Refund","Short-Term Savings","Tax Refund","$0.00","$0.00","$0.00"
"Oct 2026","Short-Term Savings: Debt Repayment Savings","Short-Term Savings","Debt Repayment Savings","$0.00","$0.00","$0.00"
"Oct 2026","Short-Term Savings: Christmas","Short-Term Savings","Christmas","$0.00","$0.00","$0.00"
"Oct 2026","Short-Term Savings: Small Trips","Short-Term Savings","Small Trips","$0.00","$0.00","$0.00"
"Oct 2026","Short-Term Savings: Vacation Fund / Big Trips","Short-Term Savings","Vacation Fund / Big Trips","$0.00","$0.00","$0.00"
"Oct 2026","Irregular Expenses: Interest","Irregular Expenses","Interest","$0.00","$0.00","$0.00"
"Oct 2026","Irregular Expenses: Dad Reimbursement","Irregular Expenses","Dad Reimbursement","$0.00","$0.00","$0.00"
"Oct 2026","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","$0.00","$0.00","$1,127.04"
"Oct 2026","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","$0.00","$0.00","$0.00"
"Oct 2026","Irregular Expenses: Medical","Irregular Expenses","Medical","$0.00","$0.00","$0.00"
"Nov 2026","Credit Card Payments: Amex Gold (Due 20th)","Credit Card Payments","Amex Gold (Due 20th)","$0.00","$0.00","$0.00"
"Nov 2026","Credit Card Payments: Credit Card – 8072","Credit Card Payments","Credit Card – 8072","$0.00","$0.00","$0.00"
"Nov 2026","Credit Card Payments: Savor – 7573","Credit Card Payments","Savor – 7573","$0.00","$0.00","$0.00"
"Nov 2026","Credit Card Payments: Wells Fargo Autograph Visa�� Card – 5212","Credit Card Payments","Wells Fargo Autograph Visa�� Card – 5212","$0.00","$0.00","$0.00"
"Nov 2026","Bills: Electricity","Bills","Electricity","$0.00","$0.00","$0.00"
"Nov 2026","Bills: Public Transit","Bills","Public Transit","$0.00","$0.00","$0.00"
"Nov 2026","Bills: 🏠 Rent","Bills","🏠 Rent","$0.00","$0.00","$2,335.00"
"Nov 2026","Bills: 📄 Renter's insurance - Savings Bucket","Bills","📄 Renter's insurance - Savings Bucket","$0.00","$0.00","$0.00"
"Nov 2026","Bills: 🎓 Student loans","Bills","🎓 Student loans","$0.00","$0.00","$0.00"
"Nov 2026","Subscriptions: Costco","Subscriptions","Costco","$0.00","$0.00","$0.00"
"Nov 2026","Subscriptions: Prime","Subscriptions","Prime","$0.00","$0.00","$0.00"
"Nov 2026","Subscriptions: Spotify","Subscriptions","Spotify","$0.00","$0.00","$0.00"
"Nov 2026","Subscriptions: Amex Gold","Subscriptions","Amex Gold","$0.00","$0.00","$0.00"
"Nov 2026","Subscriptions: Google Subscription","Subscriptions","Google Subscription","$0.00","$0.00","$0.00"
"Nov 2026","Subscriptions: YNAB","Subscriptions","YNAB","$0.00","$0.00","$0.00"
"Nov 2026","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest","$0.00","$0.00","$0.00"
"Nov 2026","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health","$0.00","$0.00","$25.18"
"Nov 2026","Monthly Living / Lifestyle: Haircut","Monthly Living / Lifestyle","Haircut","$0.00","$0.00","$0.00"
"Nov 2026","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","$0.00","$0.00","$0.00"
"Nov 2026","Fun Spending: Charity","Fun Spending","Charity","$0.00","$0.00","$0.00"
"Nov 2026","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","$0.00","$0.00","$0.00"
"Nov 2026","Fun Spending: Holidays","Fun Spending","Holidays","$0.00","$0.00","$0.00"
"Nov 2026","Fun Spending: Concerts, Shows & General","Fun Spending","Concerts, Shows & General","$0.00","$0.00","$72.85"
"Nov 2026","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","$0.00","$0.00","$0.00"
"Nov 2026","Fun Spending: Bars","Fun Spending","Bars","$0.00","$0.00","$0.00"
"Nov 2026","Fun Spending: Fun Transport","Fun Spending","Fun Transport","$0.00","$0.00","$0.00"
"Nov 2026","Fun Spending: Random Subscription","Fun Spending","Random Subscription","$0.00","$0.00","$0.00"
"Nov 2026","Wealth Building: Roth IRA","Wealth Building","Roth IRA","$0.00","$0.00","$0.00"
"Nov 2026","Wealth Building: Holdover","Wealth Building","Holdover","$0.00","$0.00","$0.00"
"Nov 2026","Wealth Building: 😌 Emergency Fund","Wealth Building","😌 Emergency Fund","$0.00","$0.00","$0.00"
"Nov 2026","Wealth Building: Travel","Wealth Building","Travel","$0.00","$0.00","$0.00"
"Nov 2026","Short-Term Savings: Move in July","Short-Term Savings","Move in July","$0.00","$0.00","$457.04"
"Nov 2026","Short-Term Savings: General Liquidity","Short-Term Savings","General Liquidity","$0.00","$0.00","$0.00"
"Nov 2026","Short-Term Savings: Tax Refund","Short-Term Savings","Tax Refund","$0.00","$0.00","$0.00"
