"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"CHASE SECURE BANKING","","07/17/2026","Payment to American Express Gold Card","","","","","$318.61","$0.00","Uncleared"
"Freedom Unlimited","","07/17/2026","Anthropic","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$11.50","$0.00","Cleared"
"CHASE SECURE BANKING","","07/16/2026","Flex","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$14.99","$0.00","Cleared"
"American Express Gold Card","","07/16/2026","Anthropic","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$23.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/16/2026","The Lemon","Fun Spending: Bars","Fun Spending","Bars","","$37.93","$0.00","Cleared"
"Savor","","07/16/2026","Subscription","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$32.22","$0.00","Cleared"
"American Express Gold Card","","07/16/2026","Netflix","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$9.91","$0.00","Cleared"
"CHASE SECURE BANKING","","07/16/2026","RealPage Resident Payment","Bills: 🏠 Rent","Bills","🏠 Rent","","$3.95","$0.00","Cleared"
"CHASE SECURE BANKING","","07/16/2026","Eleven Web","Bills: 🏠 Rent","Bills","🏠 Rent","","$850.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/16/2026","Cleo","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.00","$170.00","Cleared"
"CHASE SECURE BANKING","","07/16/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Cleared"
"CHASE SECURE BANKING","","07/16/2026","Venmo","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$37.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/15/2026","Halal Smash Try via Otter","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$26.76","$0.00","Cleared"
"CHASE SECURE BANKING","","07/15/2026","Flex","Bills: 🏠 Rent","Bills","🏠 Rent","","$707.00","$0.00","Cleared"
"WELLS FARGO AUTOGRAPH VISA® CARD","","07/15/2026","Pie Eyed Pizzeria","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$34.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/15/2026","Walgreens","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health","","$27.55","$0.00","Cleared"
"CHASE SECURE BANKING","","07/15/2026","Affirm","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$37.25","$0.00","Cleared"
"CHASE SECURE BANKING","","07/15/2026","Matchbox Milwauk","Fun Spending: Bars","Fun Spending","Bars","","$9.74","$0.00","Cleared"
"CHASE SECURE BANKING","","07/15/2026","Matchbox Milwauk","Fun Spending: Bars","Fun Spending","Bars","","$10.06","$0.00","Cleared"
"CHASE SECURE BANKING","","07/15/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.50","$0.00","Cleared"
"CHASE SECURE BANKING","","07/15/2026","Dave","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.00","$605.00","Cleared"
"CHASE SECURE BANKING","","07/15/2026","Dave","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$524.00","$0.00","Cleared"
"American Express Gold Card","","07/15/2026","Amazon Digital Services","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$2.17","$0.00","Cleared"
"CHASE SECURE BANKING","","07/14/2026","Payment to Freedom Unlimited","","","","","$121.00","$0.00","Uncleared"
"CHASE SECURE BANKING","","07/14/2026","Dave","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$115.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/14/2026","Cleo Advance","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$349.97","$0.00","Cleared"
"CHASE SECURE BANKING","","07/14/2026","Cleo","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.01","$0.00","Cleared"
"American Express Gold Card","","07/14/2026","Google","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$1.99","$0.00","Cleared"
"American Express Gold Card","","07/14/2026","Gangnam Market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$14.67","$0.00","Cleared"
"Savor","","07/14/2026","Starting Balance","Category Not Needed: Category Not Needed","Category Not Needed","Category Not Needed","","$4,022.71","$0.00","Cleared"
"Freedom Unlimited","","07/14/2026","Starting Balance","Category Not Needed: Category Not Needed","Category Not Needed","Category Not Needed","","$3,582.22","$0.00","Cleared"
"WELLS FARGO AUTOGRAPH VISA® CARD","","07/14/2026","Starting Balance","Category Not Needed: Category Not Needed","Category Not Needed","Category Not Needed","","$4,981.41","$0.00","Cleared"
"CHASE SECURE BANKING","","07/14/2026","Payment to Savor","","","","","$140.00","$0.00","Uncleared"
"CHASE SECURE BANKING","","07/14/2026","Starting Balance",": Ready to Assign","","Ready to Assign","","$0.00","$65.95","Cleared"
"WELLS FARGO AUTOGRAPH VISA® CARD","","07/14/2026","Gallery Cafe River Wechicago Il","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$15.32","$0.00","Cleared"
"WELLS FARGO AUTOGRAPH VISA® CARD","","07/14/2026","Payment from CHASE SECURE BANKING","","","","","$0.00","$262.82","Cleared"
"WELLS FARGO AUTOGRAPH VISA® CARD","","07/14/2026","Nordstrom Rack","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$22.17","$0.00","Cleared"
"WELLS FARGO AUTOGRAPH VISA® CARD","","07/14/2026","Jewel-Osco","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$31.14","$0.00","Cleared"
"CHASE SECURE BANKING","","07/14/2026","Payment to WELLS FARGO AUTOGRAPH VISA® CARD","","","","","$262.82","$0.00","Uncleared"
"CHASE SECURE BANKING","","07/14/2026","Albert","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$19.99","$0.00","Cleared"
"American Express Gold Card","","07/14/2026","Google","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$2.29","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Illinois Lottery","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$11.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$29.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Cleo","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.00","$80.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Costco via Instacart","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$58.50","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$21.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Tary","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$5.53","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","365 Retail Markets","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$4.88","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Tock Payroll",": Ready to Assign","","Ready to Assign","","$0.00","$2,884.14","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Jewel-Osco","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$13.07","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.50","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$12.12","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","DoorDash","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$30.17","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$5.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Uber Pending Transaction","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$19.94","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$22.35","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","TJ Maxx","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$79.52","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$33.52","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Account Verification Deposit from Cleo","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.00","$0.01","Cleared"
"CHASE SECURE BANKING","","07/13/2026","CVS","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health","","$7.27","$0.00","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Venmo","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$19.65","Cleared"
"CHASE SECURE BANKING","","07/13/2026","Jewel-Osco","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$17.36","$0.00","Cleared"
"American Express Gold Card","","07/13/2026","Amex Resy Credit","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$0.00","$50.00","Cleared"
"American Express Gold Card","","07/13/2026","Jewel-Osco","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$9.81","$0.00","Cleared"
"American Express Gold Card","","07/12/2026","Bonyeon","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$333.04","$0.00","Cleared"
"American Express Gold Card","","07/12/2026","Spilt Milk","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$74.95","$0.00","Cleared"
"American Express Gold Card","","07/12/2026","Amazon","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$1.00","$0.00","Cleared"
"American Express Gold Card","","07/12/2026","Easy Does It","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$46.24","$0.00","Cleared"
"American Express Gold Card","","07/12/2026","Amazon","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$56.29","$0.00","Cleared"
"American Express Gold Card","","07/12/2026","Amazon Pay With Points Credit","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$0.00","$1.00","Cleared"
"CHASE SECURE BANKING","","07/11/2026","Payment to American Express Gold Card","","","","","$90.00","$0.00","Uncleared"
"American Express Gold Card","","07/11/2026","Payment from CHASE SECURE BANKING","","","","","$0.00","$90.00","Cleared"
"CHASE SECURE BANKING","","07/10/2026","Dave","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.00","$250.00","Cleared"
"CHASE SECURE BANKING","","07/10/2026","Payment to American Express Gold Card","","","","","$225.00","$0.00","Uncleared"
"CHASE SECURE BANKING","","07/10/2026","Aglaia Coffee & Tea","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$9.22","$0.00","Cleared"
"CHASE SECURE BANKING","","07/10/2026","Wingstop","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$15.74","$0.00","Cleared"
"CHASE SECURE BANKING","","07/10/2026","Venmo","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$23.63","Cleared"
"CHASE SECURE BANKING","","07/10/2026","Cleo","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$5.99","$0.00","Cleared"
"American Express Gold Card","","07/09/2026","Amazon Prime Membership","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$16.35","$0.00","Cleared"
"American Express Gold Card","","07/09/2026","The Publican","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$120.30","$0.00","Cleared"
"American Express Gold Card","","07/09/2026","Amazon","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$5.44","$0.00","Cleared"
"CHASE SECURE BANKING","","07/09/2026","Uber Eats","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$29.60","$0.00","Cleared"
"CHASE SECURE BANKING","","07/09/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$11.18","$0.00","Cleared"
"CHASE SECURE BANKING","","07/09/2026","Cafe Cremerie","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$7.20","$0.00","Cleared"
"CHASE SECURE BANKING","","07/09/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$13.14","$0.00","Cleared"
"CHASE SECURE BANKING","","07/09/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Cleared"
"CHASE SECURE BANKING","","07/08/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$6.20","$0.00","Cleared"
"CHASE SECURE BANKING","","07/08/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$16.76","$0.00","Cleared"
"CHASE SECURE BANKING","","07/08/2026","Matchbox Milwauk","Fun Spending: Bars","Fun Spending","Bars","","$8.63","$0.00","Cleared"
"CHASE SECURE BANKING","","07/08/2026","Dave","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.00","$350.00","Cleared"
"CHASE SECURE BANKING","","07/08/2026","Zelle Transfer","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$24.00","Cleared"
"CHASE SECURE BANKING","","07/08/2026","Zelle Transfer","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$24.06","Cleared"
"CHASE SECURE BANKING","","07/07/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$16.42","$0.00","Cleared"
"CHASE SECURE BANKING","","07/07/2026","Dave Davesubfee F D Bxo Web","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$3.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/07/2026","Dona Naty's Tacos","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$26.99","$0.00","Cleared"
"CHASE SECURE BANKING","","07/07/2026","Dona Naty's Tacos","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$4.41","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Pie Eyed Pizzeria","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$25.79","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Venmo","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$27.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Cafe Cremerie","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$13.19","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Good To Go","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$6.69","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Big Shoulders Coffee","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$7.54","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Aglaia Coffee & Tea","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$16.20","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Banana Republic Factory","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$16.49","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.50","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Instacart","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$45.37","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","The Hampton Social","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$7.91","$0.00","Cleared"
"American Express Gold Card","","07/06/2026","Audible","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$9.81","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$5.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","eBay - Klarna","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$39.96","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Lyft","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$41.96","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Spotify","Subscriptions: Spotify","Subscriptions","Spotify","","$14.17","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Sunday the Hampton Soci","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$37.10","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Viceroy Chicago","Fun Spending: Bars","Fun Spending","Bars","","$75.70","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$22.11","$0.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Cleo","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.00","$80.00","Cleared"
"CHASE SECURE BANKING","","07/06/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$16.69","$0.00","Cleared"
"American Express Gold Card","","07/05/2026","Amazon","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$22.62","$0.00","Cleared"
"American Express Gold Card","","07/05/2026","R&a Sourdough","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$25.64","$0.00","Cleared"
"American Express Gold Card","","07/05/2026","Amazon Pay With Points Credit","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$0.00","$22.62","Cleared"
"American Express Gold Card","","07/05/2026","American Express Dining Credit","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$10.00","Cleared"
"American Express Gold Card","","07/05/2026","Aplpay Proton Ag Geneva","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$9.99","$0.00","Cleared"
"American Express Gold Card","","07/04/2026","Grubhub","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$20.12","$0.00","Cleared"
"CHASE SECURE BANKING","","07/03/2026","Beverage","Fun Spending: Bars","Fun Spending","Bars","","$14.89","$0.00","Cleared"
"CHASE SECURE BANKING","","07/03/2026","Department of Education","Bills: 🎓 Student loans","Bills","🎓 Student loans","","$253.22","$0.00","Cleared"
"CHASE SECURE BANKING","","07/03/2026","Gallery Cafe River","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$12.17","$0.00","Cleared"
"CHASE SECURE BANKING","","07/03/2026","Binny's Beverage Depot","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$47.29","$0.00","Cleared"
"CHASE SECURE BANKING","","07/03/2026","Uber","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$2.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/03/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$1.51","$0.00","Cleared"
"CHASE SECURE BANKING","","07/03/2026","Uber Pending Transaction","Bills: Public Transit","Bills","Public Transit","","$16.94","$0.00","Cleared"
"CHASE SECURE BANKING","","07/03/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$15.97","$0.00","Cleared"
"CHASE SECURE BANKING","","07/03/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.50","$0.00","Cleared"
"CHASE SECURE BANKING","","07/03/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$34.09","$0.00","Cleared"
"American Express Gold Card","","07/02/2026","Green Street","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$36.03","$0.00","Cleared"
"American Express Gold Card","","07/02/2026","Aplpay Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$8.09","$0.00","Cleared"
"CHASE SECURE BANKING","","07/02/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$4.75","$0.00","Cleared"
"CHASE SECURE BANKING","","07/02/2026","Matchbox Milwauk","Fun Spending: Bars","Fun Spending","Bars","","$44.05","$0.00","Cleared"
"CHASE SECURE BANKING","","07/02/2026","Pie Eyed Pizzeria","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$27.74","$0.00","Cleared"
